# Time-averaged data for fix 3
# TimeStep c_msd_O[4] c_msd_H[4] v_fitslope_O v_fitslope_H
30200 2817.38 24560.3 23.0493 183.973
30300 2881.56 25155.6 23.3521 186.956
30400 2943 25731.5 23.6616 190.002
30500 3002.04 26287.1 23.977 193.101
30600 3040.4 26669.2 24.2955 196.232
30700 3097.66 27212.7 24.6162 199.387
30800 3170.48 27882.6 24.9438 202.605
30900 3239.05 28519.8 25.2793 205.894
31000 3286.57 28984.2 25.6198 209.229
31100 3329.43 29404.1 25.9608 212.573
31200 3394.39 30000.9 26.3053 215.949
31300 3445.92 30490.2 26.6542 219.365
31400 3490.7 30923.2 27.0047 222.797
31500 3544.72 31444.8 27.3574 226.252
31600 3592.4 31924.8 27.7124 229.733
31700 3631.73 32329.2 28.0679 233.224
31800 3684.71 32854.2 28.425 236.736
31900 3747.44 33449.9 28.785 240.278
32000 3794.21 33913.9 29.1486 243.854
32100 3842.41 34391.3 29.5122 247.435
32200 3910.41 35038.7 29.8796 251.053
32300 3980.72 35697.1 30.2524 254.721
32400 4048.65 36338.9 30.6297 258.432
32500 4125.62 37057.3 31.0135 262.199
32600 4181.43 37591.8 31.4013 266.005
32700 4262.67 38348.4 31.7925 269.842
32800 4354.56 39205.1 32.1929 273.762
32900 4414.53 39784 32.5985 277.73
33000 4474.94 40379.1 33.0066 281.726
33100 4496.2 40633.7 33.413 285.712
33200 4543.72 41125.2 33.8164 289.677
33300 4583.91 41579.2 34.2189 293.644
33400 4640.72 42164.8 34.6213 297.621
33500 4689.66 42668.5 35.0247 301.615
33600 4728.73 43085.5 35.4279 305.611
33700 4772.27 43534 35.8285 309.591
33800 4859.79 44357.8 36.2323 313.6
33900 4960.17 45303.3 36.6451 317.692
34000 5023.99 45931.3 37.0631 321.833
34100 5095.78 46632.4 37.4835 326
34200 5177.51 47429.9 37.9089 330.215
34300 5239.03 48055 38.3374 334.465
34400 5269.19 48392.8 38.7643 338.707
34500 5318.07 48864.3 39.1886 342.926
34600 5379.92 49467.1 39.6134 347.151
34700 5439.78 50063.7 40.04 351.394
34800 5493.87 50622.8 40.4666 355.642
34900 5533.55 51035.2 40.8916 359.879
35000 5585.62 51570.3 41.3152 364.108
35100 5638.63 52115.9 41.7376 368.332
35200 5715.03 52876.9 42.163 372.586
35300 5777.68 53495.9 42.5912 376.87
35400 5823.01 53966.8 43.018 381.144
35500 5897.07 54683.4 43.446 385.431
35600 5978.9 55453.7 43.8773 389.748
35700 6043.52 56086.2 44.3118 394.093
35800 6114.9 56800.1 44.7478 398.455
35900 6188.03 57539 45.1867 402.849
36000 6233.74 58023.6 45.6254 407.245
36100 6287.43 58583.9 46.061 411.619
36200 6348.47 59187.8 46.4978 416.007
36300 6390.95 59613.3 46.9331 420.381
36400 6437.85 60078.5 47.3663 424.735
36500 6458.84 60315.1 47.7958 429.056
36600 6480.28 60554.5 48.2182 433.313
36700 6536.87 61144.5 48.6388 437.556
36800 6579.97 61611.9 49.0588 441.799
36900 6586.61 61751.9 49.4728 445.992
37000 6571.58 61677.1 49.8768 450.099
37100 6599.75 61989.4 50.2738 454.143
37200 6644.18 62462 50.6684 458.17
37300 6641.1 62494.4 51.0565 462.138
37400 6667.31 62809.3 51.4373 466.044
37500 6688.4 63065.7 51.8146 469.922
37600 6704.32 63267.9 52.1857 473.745
37700 6764.84 63889.3 52.5541 477.546
37800 6836.29 64600.9 52.9247 481.37
37900 6876.44 65018.7 53.2957 485.197
38000 6889.18 65198.4 53.6616 488.981
38100 6915.28 65502.8 54.0217 492.714
38200 6903.28 65450.8 54.3765 496.4
38300 6868.73 65194.8 54.7197 499.982
38400 6863.11 65205.5 55.0514 503.46
38500 6916.73 65762.6 55.3806 506.916
38600 6941.23 66056.2 55.7079 510.36
38700 6922.55 65949.8 56.0281 513.739
38800 6888.68 65716.2 56.337 517.019
38900 6850.13 65418.9 56.634 520.191
39000 6846.68 65449 56.9208 523.271
39100 6854.63 65564.6 57.202 526.3
39200 6881.81 65867.7 57.4792 529.292
39300 6895.08 66037.1 57.753 532.252
39400 6876.95 65909.3 58.0202 535.151
39500 6800.1 65212.1 58.2747 537.929
39600 6729.03 64553 58.5127 540.55
39700 6663.51 63960.9 58.7347 543.015
39800 6628.85 63658.5 58.9463 545.382
39900 6612.55 63529.6 59.1481 547.655
40000 6619.74 63590.7 59.3456 549.883
40100 6587.53 63285.1 59.5355 552.032
40200 6566.58 63146.2 59.7173 554.104
40300 6486.24 62429 59.8874 556.068
40400 6439.54 62029 60.0432 557.898
40500 6440.96 62063.4 60.1935 559.673
40600 6442.39 62095.1 60.3393 561.404
40700 6439.93 62098.3 60.4805 563.089
40800 6500.9 62686.5 60.621 564.766
40900 6579.61 63427.4 60.7669 566.49
41000 6603.38 63659.6 60.9154 568.232
41100 6598.2 63614.7 61.0591 569.927
41200 6625.59 63874.3 61.2005 571.594
41300 6627.83 63890.8 61.3396 573.236
41400 6635.05 63950.7 61.4753 574.839
41500 6660.21 64163.8 61.6087 576.415
41600 6630.43 63849.8 61.7374 577.938
41700 6627.01 63819.4 61.8612 579.409
41800 6601.98 63565.2 61.9781 580.81
41900 6616.3 63655.9 62.0918 582.172
42000 6595.89 63462.1 62.2009 583.485
42100 6562.07 63131.2 62.3028 584.726
42200 6519.16 62704.3 62.3972 585.889
42300 6477.63 62295 62.4814 586.95
42400 6483.01 62335.8 62.5624 587.976
42500 6424.54 61788 62.6366 588.934
42600 6359.42 61171.6 62.6997 589.784
42700 6277.49 60383.3 62.7524 590.532
42800 6216.88 59790.8 62.794 591.168
42900 6159.29 59264.2 62.8263 591.714
