#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   8700      3.85e+00    4.49e+00      3.74e-03    1.16e-02      1.25e-01    1.46e-01    9.5e-04
   8800      4.09e+00    4.12e+00      8.79e-02    9.12e-02      1.30e-01    1.31e-01    9.5e-04
   8900      3.57e+00    3.88e+00      1.71e-02    2.05e-02      1.16e-01    1.26e-01    9.5e-04
   9000      4.07e+00    3.55e+00      4.99e-02    4.99e-02      1.31e-01    1.14e-01    9.5e-04
   9100      3.74e+00    3.64e+00      2.24e-02    2.00e-02      1.21e-01    1.18e-01    9.5e-04
   9200      3.59e+00    3.65e+00      1.34e-02    4.69e-03      1.16e-01    1.18e-01    9.5e-04
   9300      3.33e+00    3.77e+00      1.11e-02    1.66e-02      1.08e-01    1.22e-01    9.5e-04
   9400      3.57e+00    3.44e+00      1.41e-02    1.47e-02      1.16e-01    1.11e-01    9.5e-04
   9500      2.61e+00    2.86e+00      1.06e-02    3.30e-03      8.47e-02    9.29e-02    9.5e-04
   9600      2.90e+00    3.06e+00      1.50e-02    3.49e-02      9.40e-02    9.89e-02    9.5e-04
   9700      3.90e+00    3.32e+00      6.70e-03    4.48e-04      1.27e-01    1.08e-01    9.5e-04
   9800      3.10e+00    2.90e+00      2.40e-02    3.33e-02      1.00e-01    9.37e-02    9.5e-04
   9900      3.31e+00    3.39e+00      4.71e-03    2.31e-03      1.07e-01    1.10e-01    9.5e-04
  10000      3.29e+00    3.23e+00      2.30e-02    2.85e-02      1.09e-01    1.07e-01    9.0e-04
  10100      3.06e+00    3.49e+00      3.65e-02    3.52e-02      1.01e-01    1.15e-01    9.0e-04
  10200      3.61e+00    3.59e+00      4.25e-02    4.65e-02      1.19e-01    1.18e-01    9.0e-04
  10300      3.28e+00    3.40e+00      1.02e-02    2.45e-02      1.09e-01    1.13e-01    9.0e-04
  10400      2.82e+00    2.76e+00      3.79e-02    3.33e-02      9.26e-02    9.09e-02    9.0e-04
  10500      2.95e+00    3.08e+00      1.13e-03    1.99e-03      9.83e-02    1.03e-01    9.0e-04
  10600      2.81e+00    2.98e+00      1.45e-02    1.49e-02      9.33e-02    9.90e-02    9.0e-04
  10700      3.58e+00    3.78e+00      7.53e-02    7.80e-02      1.15e-01    1.22e-01    9.0e-04
  10800      2.98e+00    3.21e+00      2.94e-02    1.78e-02      9.86e-02    1.07e-01    9.0e-04
  10900      2.63e+00    2.37e+00      8.90e-03    1.30e-02      8.76e-02    7.87e-02    9.0e-04
  11000      2.87e+00    2.57e+00      1.43e-02    4.46e-03      9.52e-02    8.56e-02    9.0e-04
  11100      2.45e+00    2.77e+00      5.16e-03    1.84e-02      8.16e-02    9.20e-02    9.0e-04
  11200      2.71e+00    2.83e+00      4.30e-02    4.60e-02      8.86e-02    9.22e-02    9.0e-04
